  | PyTorch API | MXNet API |
  | --- | --- |
  | torch.nn.MaxPool2d | mxnet.ndarray.max_pooling |
  | torch.nn.MaxPool2d | mxnet.ndarray.max_pooling_with_argmax |
  | torch.nn.MaxPool2d | mxnet.ndarray.max_pooling_with_indices |
  | torch.nn.MaxPool2d | mxnet.ndarray.max_pooling_with_mask |
  | torch.nn.MaxPool2d | mxnet.ndarray.max_pooling_with_padding |
  | torch.nn.MaxPool2d | mxnet.ndarray.max_pooling_with_stride |
  | torch.nn.MaxPool2d | mxnet.ndarray.max_pooling_with_window |
  | torch.nn.MaxPool2d | mxnet.ndarray.max_pooling_with_dilation |
  | torch.nn.MaxPool2d | mxnet.ndarray.max_pooling_with_ceil_mode |
  | torch.nn.MaxPool2d | mxnet.ndarray.max_pooling_with_return_indices |
